"","National","Labour","Green","NZ First","Conservative","Māori","ACT","United Future","MANA","TOTAL"
"Auckland Central",15038,14321,2903,412,238,NA,149,NA,NA,33481
"Bay of Plenty",23710,5950,NA,3704,1306,NA,NA,213,251,36013
"Botany",17780,7039,NA,NA,2135,NA,631,185,NA,28839
"Christchurch Central",12064,12017,2321,NA,439,NA,110,NA,NA,27621
"Christchurch East",10225,15559,1347,NA,522,NA,NA,108,NA,28524
"Clutha-Southland",21375,5207,2633,NA,787,NA,796,NA,NA,31866
"Coromandel",18571,5831,5660,2118,853,NA,NA,195,NA,34579
"Dunedin North",9487,12976,5721,NA,NA,NA,159,176,NA,29771
"Dunedin South",12669,16844,3197,979,NA,NA,215,NA,NA,35281
"East Coast",14003,9229,2452,1184,1352,NA,140,392,256,29624
"East Coast Bays",21094,6453,2832,NA,1614,NA,467,NA,NA,33362
"Epsom",13574,3751,2160,NA,342,NA,15835,NA,66,36354
"Hamilton East",18505,10230,1697,797,752,NA,230,NA,NA,33038
"Hamilton West",16587,12169,NA,1294,744,NA,NA,NA,NA,31823
"Helensville",26011,4945,2575,NA,941,NA,180,NA,NA,35545
"Hunua",22563,5766,2576,1405,1373,194,440,NA,NA,35097
"Hutt South",11003,15828,3693,NA,1015,NA,172,342,NA,32781
"Ilam",20070,6758,5099,NA,767,NA,252,280,NA,33893
"Invercargill",17275,11012,2433,NA,NA,NA,276,NA,NA,32513
"Kaikōura",19961,8516,3784,NA,NA,NA,457,NA,NA,34177
"Mana",14093,16323,2652,NA,NA,NA,182,NA,NA,34322
"Māngere",3018,18177,1030,597,584,NA,121,NA,422,24805
"Manukau East",3561,19399,NA,999,425,NA,248,NA,461,26527
"Manurewa",6351,14961,NA,1122,636,NA,189,NA,387,24754
"Maungakiekie",16189,13168,1827,687,443,NA,NA,NA,145,33349
"Mt Albert",8695,18716,3000,NA,786,NA,425,NA,NA,32591
"Mt Roskill",10635,17906,1258,468,550,NA,240,77,NA,32099
"Napier",17337,13636,1334,NA,668,NA,159,NA,86,33946
"Nelson",18360,11272,3276,669,601,NA,171,204,NA,35245
"New Lynn",11809,16999,2364,NA,820,NA,265,NA,NA,33444
"New Plymouth",17644,13374,1277,NA,NA,NA,NA,NA,NA,33903
"North Shore",22709,7481,2802,900,904,NA,1293,173,NA,36962
"Northcote",18908,9529,1890,732,593,NA,185,113,NA,32824
"Northland",18188,6826,3822,NA,1606,290,261,NA,611,32576
"Ōhariu",6907,12965,2160,339,378,NA,NA,14357,NA,37584
"Ōtaki",19151,13920,1750,1122,644,NA,115,110,NA,37711
"Pakuranga",20694,6848,NA,1430,1634,NA,816,NA,NA,32463
"Palmerston North",13240,16525,1485,NA,675,NA,167,109,NA,32868
"Papakura",18096,8206,1519,1718,619,NA,212,NA,NA,31184
"Port Hills",12640,15737,3252,697,NA,NA,179,NA,NA,33047
"Rangitata",19580,13043,1766,NA,NA,NA,303,418,NA,36080
"Rangitīkei",18284,8902,2108,NA,1159,NA,302,NA,110,31753
"Rimutaka",13885,17171,1990,NA,NA,NA,241,NA,NA,34166
"Rodney",20253,5170,2694,1476,8031,NA,204,NA,NA,38443
"Rongotai",9132,18179,7262,488,435,168,168,NA,NA,36601
"Rotorua",17188,9831,NA,2166,903,NA,NA,NA,510,31433
"Selwyn",24963,5512,3674,1277,677,NA,NA,NA,NA,36629
"Tāmaki",24837,7051,2861,NA,567,NA,877,NA,NA,37458
"Taranaki-King Country",20842,5753,2819,NA,NA,NA,NA,511,NA,30971
"Taupō",20934,6819,2056,1508,900,NA,190,216,266,33610
"Tauranga",21971,4707,2458,4611,1512,123,190,NA,90,36485
"Te Atatū",10444,15860,1744,NA,1106,NA,308,NA,NA,30529
"Tukituki",19378,9718,2319,NA,1078,NA,252,NA,NA,33958
"Waikato",19817,5619,1970,1571,1142,NA,307,NA,NA,31308
"Waimakariri",16787,16145,1197,588,785,NA,NA,NA,NA,35992
"Wairarapa",17881,10746,2856,NA,1476,NA,352,NA,NA,35079
"Waitakere",13465,13456,1855,NA,611,NA,NA,NA,322,30747
"Waitaki",23219,9076,3830,NA,760,NA,198,NA,NA,38669
"Wellington Central",12460,18836,5225,279,236,NA,412,NA,NA,38737
"West Coast-Tasman",13214,15753,2123,NA,623,NA,487,454,NA,33784
"Whanganui",16743,11697,1444,1043,NA,NA,135,NA,NA,31799
"Whangarei",20049,7602,2993,1512,1146,NA,338,NA,NA,34533
"Wigram",12580,14080,2423,NA,785,NA,NA,159,NA,31986
"Hauraki-Waikato",NA,9751,NA,NA,NA,2899,NA,NA,3816,17782
"Ikaroa-Rāwhiti",NA,10558,NA,NA,NA,4017,NA,NA,2484,18319
"Tāmaki Makaurau",NA,6184,1491,NA,NA,7120,NA,NA,2827,18339
"Te Tai Hauāuru",NA,5212,2007,NA,NA,8433,NA,NA,1513,18215
"Te Tai Tokerau",NA,6956,NA,NA,NA,3114,NA,NA,8121,19662
"Te Tai Tonga",NA,6786,2546,NA,NA,5311,NA,NA,1360,17546
"Waiariki",NA,4355,NA,NA,NA,7651,NA,NA,5768,18767
